Christian McCaffrey,21.02
Cooper Kupp,21.53
Austin Ekeler,17.62
Justin Jefferson,19.25
Ja'Marr Chase,17.91
Najee Harris,12.23
Dalvin Cook,16.35
Alvin Kamara,17.34
Deebo Samuel,16.53
Stefon Diggs,20.93
Joe Mixon,16.52
CeeDee Lamb,17.1
Tyreek Hill,17.4
Leonard Fournette,17.0
Mark Andrews,17.13
Travis Kelce,16.85
Aaron Jones,14.93
Tee Higgins,12.67
Mike Evans,15.3
DJ Moore,12.41
Saquon Barkley,23.27
Michael Pittman Jr.,14.37
A.J. Brown,15.26
Terry McLaurin,12.19
Nick Chubb,17.24
Diontae Johnson,13.31
Jaylen Waddle,12.89
Mike Williams,13.45
Kyle Pitts,9.44
David Montgomery,16.02
Ezekiel Elliott,10.09
Travis Etienne Jr.,10.26
Breece Hall,16.22
Josh Allen,26.12
Marquise Brown,17.58
DK Metcalf,16.52
Jerry Jeudy,11.46
Courtland Sutton,16.79
J.K. Dobbins,11.65
Chris Godwin,13.44
Darnell Mooney,8.17
Gabe Davis,13.31
Patrick Mahomes,21.1
Justin Herbert,18.09
Clyde Edwards-Helaire,11.09
Devin Singletary,12.75
Miles Sanders,12.99
George Kittle,9.97
Lamar Jackson,21.9
Kyler Murray,22.08
Amari Cooper,12.52
Allen Robinson II,7.92
Christian Kirk,13.52
JuJu Smith-Schuster,12.47
Adam Thielen,11.63
Drake London,12.67
Elijah Moore,10.5
Tyler Lockett,14.53
DeVonta Smith,12.66
Jalen Hurts,22.09
Kareem Hunt,11.02
Rhamondre Stevenson,15.71
Chase Edmonds,7.2
Antonio Gibson,7.86
Tony Pollard,8.54
Dallas Goedert,9.87
Zach Ertz,12.48
Tom Brady,19.31
Aaron Rodgers,16.41
Russell Wilson,16.91
Joe Burrow,17.33
Matthew Stafford,14.95
Brandon Aiyuk,9.98
Allen Lazard,12.16
Garrett Wilson,11.46
Chase Claypool,9.8
AJ Dillon,10.07
James Robinson,9.26
Michael Carter,9.02
Melvin Gordon III,12.59
Cole Kmet,5.61
Jakobi Meyers,12.05
Russell Gage,8.55
Marquez Valdes-Scantling,11.33
Tyler Boyd,6.89
Michael Gallup,9.55
Kenneth Walker III,11.48
Raheem Mostert,13.4
Kirk Cousins,16.48
Dawson Knox,9.32
Mike Gesicki,5.15
Trevor Lawrence,14.72
Justin Fields,12.42
Joshua Palmer,10.42
Robbie Anderson,8.13
DeVante Parker,6.43
Noah Fant,6.97
Irv Smith Jr.,7.73
David Njoku,9.92
Tyler Higbee,13.01
Packers D/ST,5.93
Saints D/ST,5.6
Buccaneers D/ST,6.71
Ravens D/ST,5.09
49ers D/ST,6.52
Colts D/ST,5.07
Justin Tucker,7.8
Evan McPherson,7.12
Matt Gay,7.71
Harrison Butker,8.24
Brandon McManus,6.86
Nick Folk,6.88
Tyler Bass,7.42
Graham Gano,8.21
Brian Robinson Jr.,7.31
J.D. McKissic,9.36
Darrell Henderson Jr.,12.28
Alexander Mattison,6.23
Khalil Herbert,7.29
Tyler Allgeier,8.48
Jerick McKinnon,6.11
George Pickens,10.03
Rondale Moore,12.43
Wan'Dale Robinson,6.03
Alec Pierce,10.72
Mecole Hardman,7.78
Isaiah McKenzie,11.91
Evan Engram,7.47
Hayden Hurst,8.21
Daniel Jones,16.56
Chargers D/ST,5.06
Commanders D/ST,6.0
Greg Joseph,7.66
Jake Elliott,7.38
Rachaad White,7.8
Samaje Perine,5.99
Romeo Doubs,11.74
Curtis Samuel,13.9
Eno Benjamin,14.37
Carson Wentz,16.08
Zach Wilson,15.9
Browns D/ST,6.3
Eagles D/ST,6.39
Robbie Gould,7.13
Ryan Succop,7.91
K.J. Osborn,7.09
Randall Cobb,9.6
Corey Davis,9.95
A.J. Green,8.17
Kendrick Bourne,5.69
Parris Campbell,6.73
Zay Jones,10.45
Joshua Kelley,6.14
Matt Ryan,12.68
Gerald Everett,9.97
Robert Tonyan,7.17
DeeJay Dallas,5.38
Donovan Peoples-Jones,8.78
Bengals D/ST,6.01
Dustin Hopkins,7.33
Mason Crosby,6.99
Mo Alie-Cox,5.19
Tyler Conklin,7.17
Devin Duvernay,11.21
Jeff Wilson Jr.,14.33
Marcus Mariota,13.78
Kenny Pickett,12.52
Deon Jackson,11.49
Jaylen Warren,5.05
Rams D/ST,7.53
Chris Boswell,6.83
Younghoe Koo,7.01
Taysom Hill,6.51
Cameron Brate,5.46
Jonnu Smith,5.27
Geno Smith,19.63
Vikings D/ST,5.97
Panthers D/ST,6.42
Jacoby Brissett,13.76
Kylen Granson,6.34
Daniel Bellinger,6.17
Will Dissly,6.69
John Bates,5.32
Andy Dalton,12.95
Jimmy Garoppolo,12.88
Brett Maher,6.07
Joey Slye,6.86
Wil Lutz,6.88
Cade York,7.47
Greg Zuerlein,7.17
Jason Myers,7.8
Eddy Pineiro,6.17
Riley Patterson,6.89
Cairo Santos,7.72
Jason Sanders,7.16
Cardinals D/ST,5.05
Bears D/ST,5.79
Jaguars D/ST,7.32
Jamal Agnew,8.07
Shi Smith,5.92
Noah Brown,7.18
Tyquan Thornton,5.71
Marquez Callaway,8.56
Connor Heyward,5.12
Dyami Brown,5.92
Demarcus Robinson,7.65
Breshad Perriman,5.2
DeAndre Carter,8.18
Ben Skowronek,6.51
Cooper Rush,12.35
Tre'Quan Smith,8.31
Darius Slayton,6.24
Mike Boone,9.03
Keaontay Ingram,5.62
Zach Gentry,6.38
Richie James,5.92
Juwan Johnson,5.57
PJ Walker,11.81
Bailey Zappe,12.74
Skylar Thompson,14.32
Marcus Johnson,5.65
Phillip Lindsay,9.27
Chase McLaughlin,5.84
Matt Ammendola,6.56
