Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
81947-38791,RB,Ezekiel,Ezekiel Elliott,Elliott,9.466666539510092,6,6900,DET@DAL,DAL,DET,,,,,,RB/FLEX
81947-27050,WR,Tyler,Tyler Lockett,Lockett,11.550000508626303,6,6800,SEA@LAC,SEA,LAC,Q,Hamstring,,,,WR/FLEX
81947-40442,RB,Aaron,Aaron Jones,Jones,11.949999491373697,6,6800,GB@WAS,GB,WAS,,,,,,RB/FLEX
81947-26483,QB,Geno,Geno Smith,Smith,18.763333638509113,6,6800,SEA@LAC,SEA,LAC,,,,,,QB
81947-21948,QB,Ryan,Ryan Tannehill,Tannehill,13.580000305175782,5,6700,IND@TEN,TEN,IND,,,,,,QB
81947-55987,WR,JuJu,JuJu Smith-Schuster,Smith-Schuster,9.083333333333334,6,6700,KC@SF,KC,SF,,,,,,WR/FLEX
81947-85741,RB,Clyde,Clyde Edwards-Helaire,Edwards-Helaire,12.883333841959635,6,6700,KC@SF,KC,SF,,,,,,RB/FLEX
81947-53331,QB,Taylor,Taylor Heinicke,Heinicke,14.835000038146973,16,6600,GB@WAS,WAS,GB,,,,,,QB
81947-30989,RB,Kenyan,Kenyan Drake,Drake,7.074999809265137,4,6600,CLE@BAL,BAL,CLE,,,,,,RB/FLEX
81947-90406,QB,Zach,Zach Wilson,Wilson,13.126667022705078,3,6600,NYJ@DEN,NYJ,DEN,,,,,,QB
81947-56809,WR,Allen,Allen Lazard,Lazard,12.5,5,6600,GB@WAS,GB,WAS,,,,,,WR/FLEX
81947-70324,QB,Carson,Carson Wentz,Wentz,17.24333318074544,6,6600,GB@WAS,WAS,GB,O,Finger,,,,QB
81947-87787,RB,J.K.,J.K. Dobbins,Dobbins,7.800000190734863,4,6600,CLE@BAL,BAL,CLE,O,Knee,,,,RB/FLEX
81947-39793,TE,George,George Kittle,Kittle,6.425000190734863,4,6600,KC@SF,SF,KC,,,,,,TE/FLEX
81947-63759,RB,Tony,Tony Pollard,Pollard,8.933333079020182,6,6500,DET@DAL,DAL,DET,,,,,,RB/FLEX
81947-30231,QB,Jacoby,Jacoby Brissett,Brissett,14.539999643961588,6,6500,CLE@BAL,CLE,BAL,,,,,,QB
81947-44715,QB,Cooper,Cooper Rush,Rush,9.733333587646484,6,6500,DET@DAL,DAL,DET,,,,,,QB
81947-85845,WR,Rashod,Rashod Bateman,Bateman,9.949999809265137,4,6500,CLE@BAL,BAL,CLE,Q,Foot,,,,WR/FLEX
81947-53097,WR,Josh,Josh Reynolds,Reynolds,11.4,5,6400,DET@DAL,DET,DAL,Q,Knee,,,,WR/FLEX
81947-93134,RB,Deon,Deon Jackson,Jackson,11.300000508626303,3,6400,IND@TEN,IND,TEN,,,,,,RB/FLEX
81947-28900,RB,Melvin,Melvin Gordon III,Gordon III,6.233333587646484,6,6300,NYJ@DEN,DEN,NYJ,,,,,,RB/FLEX
81947-55552,RB,Jeff,Jeff Wilson Jr.,Wilson Jr.,9.833333333333334,6,6300,KC@SF,SF,KC,,,,,,RB/FLEX
81947-89628,QB,Davis,Davis Mills,Mills,11.223999786376954,5,6300,HOU@LV,HOU,LV,,,,,,QB
81947-85798,WR,Brandon,Brandon Aiyuk,Aiyuk,10.533333460489908,6,6300,KC@SF,SF,KC,,,,,,WR/FLEX
81947-29501,WR,Brandin,Brandin Cooks,Cooks,8.3,5,6300,HOU@LV,HOU,LV,,,,,,WR/FLEX
81947-57299,TE,Gerald,Gerald Everett,Everett,7.866666793823242,6,6300,SEA@LAC,LAC,SEA,,,,,,TE/FLEX
81947-71706,TE,T.J.,T.J. Hockenson,Hockenson,11.240000152587891,5,6200,DET@DAL,DET,DAL,,,,,,TE/FLEX
81947-14377,QB,Tyrod,Tyrod Taylor,Taylor,2.440000057220459,1,6200,NYG@JAC,NYG,JAC,,,,,,QB
81947-63589,QB,Sam,Sam Darnold,Darnold,14.18999989827474,12,6200,TB@CAR,CAR,TB,IR,Ankle,,,,QB
81947-90561,WR,Jerry,Jerry Jeudy,Jeudy,8.266666412353516,6,6200,NYJ@DEN,DEN,NYJ,,,,,,WR/FLEX
81947-41535,QB,Baker,Baker Mayfield,Mayfield,11.695999908447266,5,6200,TB@CAR,CAR,TB,D,Ankle,,,,QB
81947-8803,QB,Chase,Chase Daniel,Daniel,-0.20000000298023224,1,6200,SEA@LAC,LAC,SEA,,,,,,QB
81947-69333,QB,Jacob,Jacob Eason,Eason,1.3600000143051147,1,6200,TB@CAR,CAR,TB,,,,,,QB
81947-41827,QB,P.J.,P.J. Walker,Walker,2.3499999046325684,2,6200,TB@CAR,CAR,TB,,,,,,QB
81947-89956,RB,Travis,Travis Etienne Jr.,Etienne Jr.,8.533333460489908,6,6200,NYG@JAC,JAC,NYG,,,,,,RB/FLEX
81947-56250,WR,Terry,Terry McLaurin,McLaurin,9.25,6,6200,GB@WAS,WAS,GB,,,,,,WR/FLEX
81947-39034,QB,Kurt,Kurt Benkert,Benkert,-0.10000000149011612,1,6100,KC@SF,SF,KC,,,,,,QB
81947-86278,QB,Desmond,Desmond Ridder,Ridder,,,6100,ATL@CIN,ATL,CIN,,,,,,QB
81947-86312,WR,Alec,Alec Pierce,Pierce,8.419999694824218,5,6100,IND@TEN,IND,TEN,,,,,,WR/FLEX
81947-69956,WR,Michael,Michael Gallup,Gallup,6.200000127156575,3,6100,DET@DAL,DAL,DET,,,,,,WR/FLEX
81947-27986,QB,C.J.,C.J. Beathard,Beathard,-0.10000000149011612,1,6100,NYG@JAC,JAC,NYG,,,,,,QB
81947-69017,QB,Jordan,Jordan Love,Love,1.4600000381469727,2,6100,GB@WAS,GB,WAS,,,,,,QB
81947-70051,QB,Tyler,Tyler Huntley,Huntley,12.377142769949776,7,6100,CLE@BAL,BAL,CLE,,,,,,QB
