QB,RB,RB,WR,WR,WR,TE,FLEX,DEF,"","Instructions"
"82666-69189","82666-93134","82666-40442","82666-53681","82666-60858","82666-55635","82666-41872","82666-89956","82666-12541","","1) Create a lineup by inserting any player from this list into their appropriate position columns"
"","","","","","","","","","","2) You can paste either the Player ID + Name OR ID from their respective columns"
"","","","","","","","","","","3) Any information to the right of the last position column will be ignored in the upload"
"","","","","","","","","","","4) Maximum of 250 lineups per upload"
"","","","","","","","","",""
"","","","","","","","","","",Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
"","","","","","","","","","",82666-45631:Jamaal Williams,82666-45631,RB,Jamaal,Jamaal Williams,Williams,14.657142639160156,7,7500,GB@DET,DET,GB,,,,,,RB/FLEX
"","","","","","","","","","",82666-29253:Keenan Allen,82666-29253,WR,Keenan,Keenan Allen,Allen,5.349999904632568,2,7500,LAC@ATL,LAC,ATL,Q,Hamstring,,,,WR/FLEX
"","","","","","","","","","",82666-52436:Mark Andrews,82666-52436,TE,Mark,Mark Andrews,Andrews,12.5625,8,7500,BAL@NO,BAL,NO,Q,Shoulder,,,,TE/FLEX
"","","","","","","","","","",82666-91598:D'Andre Swift,82666-91598,RB,D'Andre,D'Andre Swift,Swift,14.649999618530273,4,7500,GB@DET,DET,GB,Q,Ankle,,,,RB/FLEX
"","","","","","","","","","",82666-26483:Geno Smith,82666-26483,QB,Geno,Geno Smith,Smith,18.219999313354492,8,7500,SEA@ARI,SEA,ARI,,,,,,QB
"","","","","","","","","","",82666-73048:DK Metcalf,82666-73048,WR,DK,DK Metcalf,Metcalf,9.975000381469727,8,7400,SEA@ARI,SEA,ARI,,,,,,WR/FLEX
"","","","","","","","","","",82666-91591:Justin Fields,82666-91591,QB,Justin,Justin Fields,Fields,16.045000076293945,8,7400,MIA@CHI,CHI,MIA,,,,,,QB
"","","","","","","","","","",82666-55830:D'Onta Foreman,82666-55830,RB,D'Onta,D'Onta Foreman,Foreman,7.285714285714286,7,7300,CAR@CIN,CAR,CIN,,,,,,RB/FLEX
"","","","","","","","","","",82666-30733:Cordarrelle Patterson,82666-30733,RB,Cordarrelle,Cordarrelle Patterson,Patterson,14.199999809265137,4,7200,LAC@ATL,ATL,LAC,IR,Knee,,,,RB/FLEX
"","","","","","","","","","",82666-53331:Taylor Heinicke,82666-53331,QB,Taylor,Taylor Heinicke,Heinicke,19.25,2,7200,MIN@WAS,WAS,MIN,,,,,,QB
"","","","","","","","","","",82666-56250:Terry McLaurin,82666-56250,WR,Terry,Terry McLaurin,McLaurin,10.612500190734863,8,7200,MIN@WAS,WAS,MIN,,,,,,WR/FLEX
"","","","","","","","","","",82666-29358:Marcus Mariota,82666-29358,QB,Marcus,Marcus Mariota,Mariota,16.90999984741211,8,7100,LAC@ATL,ATL,LAC,,,,,,QB
"","","","","","","","","","",82666-86997:Amon-Ra St. Brown,82666-86997,WR,Amon-Ra,Amon-Ra St. Brown,St. Brown,12.783332824707031,6,7100,GB@DET,DET,GB,,,,,,WR/FLEX
"","","","","","","","","","",82666-38435:Jared Goff,82666-38435,QB,Jared,Jared Goff,Goff,17.165714808872767,7,7100,GB@DET,DET,GB,,,,,,QB
"","","","","","","","","","",82666-52922:Leonard Fournette,82666-52922,RB,Leonard,Leonard Fournette,Fournette,14.300000190734863,8,7100,LAR@TB,TB,LAR,,,,,,RB/FLEX
"","","","","","","","","","",82666-72412:Khalil Herbert,82666-72412,RB,Khalil,Khalil Herbert,Herbert,11.9375,8,7000,MIA@CHI,CHI,MIA,,,,,,RB/FLEX
"","","","","","","","","","",82666-6894:Aaron Rodgers,82666-6894,QB,Aaron,Aaron Rodgers,Rodgers,14.5,8,7000,GB@DET,GB,DET,Q,Thumb,,,,QB
"","","","","","","","","","",82666-73273:David Montgomery,82666-73273,RB,David,David Montgomery,Montgomery,9.442856924874443,7,7000,MIA@CHI,CHI,MIA,,,,,,RB/FLEX
"","","","","","","","","","",82666-63043:DJ Moore,82666-63043,WR,DJ,DJ Moore,Moore,10.112500190734863,8,7000,CAR@CIN,CAR,CIN,,,,,,WR/FLEX
"","","","","","","","","","",82666-28573:Michael Thomas,82666-28573,WR,Michael,Michael Thomas,Thomas,14.366666158040365,3,7000,BAL@NO,NO,BAL,IR,Toe,,,,WR/FLEX
"","","","","","","","","","",82666-28643:Allen Robinson II,82666-28643,WR,Allen,Allen Robinson II,Robinson II,6.485714503696987,7,7000,LAR@TB,LAR,TB,,,,,,WR/FLEX
"","","","","","","","","","",82666-6498:Tom Brady,82666-6498,QB,Tom,Tom Brady,Brady,15.397500038146973,8,6900,LAR@TB,TB,LAR,,,,,,QB
"","","","","","","","","","",82666-55987:JuJu Smith-Schuster,82666-55987,WR,JuJu,JuJu Smith-Schuster,Smith-Schuster,10.914285932268415,7,6900,TEN@KC,KC,TEN,,,,,,WR/FLEX
"","","","","","","","","","",82666-40669:Tyler Boyd,82666-40669,WR,Tyler,Tyler Boyd,Boyd,11.52750015258789,8,6900,CAR@CIN,CIN,CAR,,,,,,WR/FLEX
"","","","","","","","","","",82666-63634:Jakobi Meyers,82666-63634,WR,Jakobi,Jakobi Meyers,Meyers,12.949999491373697,6,6800,IND@NE,NE,IND,,,,,,WR/FLEX
"","","","","","","","","","",82666-45859:Derek Carr,82666-45859,QB,Derek,Derek Carr,Carr,14.648571559361049,7,6800,LV@JAC,LV,JAC,,,,,,QB
"","","","","","","","","","",82666-89675:Jonathan Taylor,82666-89675,RB,Jonathan,Jonathan Taylor,Taylor,10.549999872843424,6,6800,IND@NE,IND,NE,Q,Ankle,,,,RB/FLEX
"","","","","","","","","","",82666-87770:Chris Olave,82666-87770,WR,Chris,Chris Olave,Olave,12.17142813546317,7,6800,BAL@NO,NO,BAL,,,,,,WR/FLEX
"","","","","","","","","","",82666-89951:Trevor Lawrence,82666-89951,QB,Trevor,Trevor Lawrence,Lawrence,16.1875,8,6800,LV@JAC,JAC,LV,,,,,,QB
"","","","","","","","","","",82666-24849:Jameis Winston,82666-24849,QB,Jameis,Jameis Winston,Winston,16.306666056315105,3,6700,BAL@NO,NO,BAL,,,,,,QB
"","","","","","","","","","",82666-55635:Chris Godwin,82666-55635,WR,Chris,Chris Godwin,Godwin,9.116666793823242,6,6700,LAR@TB,TB,LAR,,,,,,WR/FLEX
"","","","","","","","","","",82666-6654:Matthew Stafford,82666-6654,QB,Matthew,Matthew Stafford,Stafford,13.017143249511719,7,6700,LAR@TB,LAR,TB,,,,,,QB
"","","","","","","","","","",82666-14225:Andy Dalton,82666-14225,QB,Andy,Andy Dalton,Dalton,16.360000610351562,5,6700,BAL@NO,NO,BAL,,,,,,QB
"","","","","","","","","","",82666-90406:Zach Wilson,82666-90406,QB,Zach,Zach Wilson,Wilson,13.203999328613282,5,6600,BUF@NYJ,NYJ,BUF,,,,,,QB
"","","","","","","","","","",82666-94534:Gabe Davis,82666-94534,WR,Gabe,Gabe Davis,Davis,12.300000508626303,6,6600,BUF@NYJ,BUF,NYJ,,,,,,WR/FLEX
"","","","","","","","","","",82666-29780:Zach Ertz,82666-29780,TE,Zach,Zach Ertz,Ertz,9.737500190734863,8,6600,SEA@ARI,ARI,SEA,,,,,,TE/FLEX
"","","","","","","","","","",82666-40687:James Conner,82666-40687,RB,James,James Conner,Conner,8.65999984741211,5,6600,SEA@ARI,ARI,SEA,Q,Ribs,,,,RB/FLEX
"","","","","","","","","","",82666-85762:Eno Benjamin,82666-85762,RB,Eno,Eno Benjamin,Benjamin,8.887499809265137,8,6600,SEA@ARI,ARI,SEA,,,,,,RB/FLEX
"","","","","","","","","","",82666-28744:Raheem Mostert,82666-28744,RB,Raheem,Raheem Mostert,Mostert,9.175000190734863,8,6500,MIA@CHI,MIA,CHI,,,,,,RB/FLEX
"","","","","","","","","","",82666-63589:Sam Darnold,82666-63589,QB,Sam,Sam Darnold,Darnold,14.18999989827474,12,6500,CAR@CIN,CAR,CIN,IR,Ankle,,,,QB
"","","","","","","","","","",82666-45565:Taysom Hill,82666-45565,TE,Taysom,Taysom Hill,Hill,11.474285670689174,7,6500,BAL@NO,NO,BAL,,,,,,TE/FLEX
"","","","","","","","","","",82666-41827:P.J. Walker,82666-41827,QB,P.J.,P.J. Walker,Walker,9.364999771118164,4,6500,CAR@CIN,CAR,CIN,,,,,,QB
"","","","","","","","","","",82666-56809:Allen Lazard,82666-56809,WR,Allen,Allen Lazard,Lazard,11.833333333333334,6,6500,GB@DET,GB,DET,Q,Shoulder,,,,WR/FLEX
"","","","","","","","","","",82666-90428:Tyler Allgeier,82666-90428,RB,Tyler,Tyler Allgeier,Allgeier,7.714285714285714,7,6400,LAC@ATL,ATL,LAC,,,,,,RB/FLEX
"","","","","","","","","","",82666-90584:Mac Jones,82666-90584,QB,Mac,Mac Jones,Jones,11.344000244140625,5,6400,IND@NE,NE,IND,,,,,,QB
"","","","","","","","","","",82666-21948:Ryan Tannehill,82666-21948,QB,Ryan,Ryan Tannehill,Tannehill,11.963333129882812,6,6400,TEN@KC,TEN,KC,Q,Ankle,,,,QB
"","","","","","","","","","",82666-69213:Michael Pittman Jr.,82666-69213,WR,Michael,Michael Pittman Jr.,Pittman Jr.,11.757143293108259,7,6400,IND@NE,IND,NE,,,,,,WR/FLEX
"","","","","","","","","","",82666-87691:Malik Willis,82666-87691,QB,Malik,Malik Willis,Willis,1.1200000047683716,2,6400,TEN@KC,TEN,KC,,,,,,QB
"","","","","","","","","","",82666-86080:Kyle Pitts,82666-86080,TE,Kyle,Kyle Pitts,Pitts,6.899999891008649,7,6300,LAC@ATL,ATL,LAC,,,,,,TE/FLEX
"","","","","","","","","","",82666-92560:Sam Ehlinger,82666-92560,QB,Sam,Sam Ehlinger,Ehlinger,7.539999961853027,1,6300,IND@NE,IND,NE,,,,,,QB
"","","","","","","","","","",82666-6616:Matt Ryan,82666-6616,QB,Matt,Matt Ryan,Ryan,14.63142830984933,7,6300,IND@NE,IND,NE,D,Shoulder,,,,QB
"","","","","","","","","","",82666-70324:Carson Wentz,82666-70324,QB,Carson,Carson Wentz,Wentz,17.24333318074544,6,6300,MIN@WAS,WAS,MIN,IR,Finger,,,,QB
"","","","","","","","","","",82666-60858:Christian Kirk,82666-60858,WR,Christian,Christian Kirk,Kirk,11.3125,8,6300,LV@JAC,JAC,LV,,,,,,WR/FLEX
"","","","","","","","","","",82666-22027:Nick Foles,82666-22027,QB,Nick,Nick Foles,Foles,16.799999237060547,1,6300,IND@NE,IND,NE,,,,,,QB
"","","","","","","","","","",82666-60947:Jarrett Stidham,82666-60947,QB,Jarrett,Jarrett Stidham,Stidham,2.880000114440918,1,6300,LV@JAC,LV,JAC,,,,,,QB
"","","","","","","","","","",82666-71706:T.J. Hockenson,82666-71706,TE,T.J.,T.J. Hockenson,Hockenson,10.357142857142858,7,6200,MIN@WAS,MIN,WAS,,,,,,TE/FLEX
